iter	Passed	Remaining
500	537	535
501	539	535
502	540	534
503	542	533
504	543	532
505	544	531
506	546	531
507	547	530
508	548	529
509	549	527
510	552	528
511	553	527
512	555	527
513	556	526
514	557	524
515	558	523
516	559	522
517	561	522
518	562	521
519	563	520
520	566	520
521	568	520
522	570	520
523	571	519
524	572	518
525	573	516
526	575	516
527	576	515
528	577	514
529	578	513
530	579	511
531	582	512
532	583	511
533	584	510
534	585	508
535	586	507
536	587	506
537	588	505
538	589	504
539	590	503
540	591	501
541	592	500
542	592	498
543	593	497
544	595	496
545	598	497
546	599	496
547	601	495
548	602	494
549	602	493
550	605	493
551	606	492
552	607	491
553	610	491
554	612	491
555	614	490
556	616	490
557	617	489
558	620	489
559	621	488
560	622	487
561	623	485
562	626	486
563	627	485
564	629	484
565	630	483
566	631	481
567	632	481
568	634	480
569	635	479
570	636	477
571	636	476
572	637	475
573	640	475
574	642	474
575	643	473
576	644	472
577	645	471
578	646	469
579	647	468
580	649	468
581	650	467
582	651	466
583	652	464
584	653	463
585	655	463
586	657	462
587	659	462
588	660	460
589	661	459
590	662	458
591	664	457
592	665	456
593	666	455
594	666	453
595	667	452
596	672	453
597	673	452
598	674	451
599	675	450
600	676	449
601	677	448
602	679	447
603	680	446
604	681	444
605	682	443
606	683	442
607	684	441
608	686	440
609	688	440
610	689	439
611	690	437
612	691	436
613	692	435
614	694	434
615	695	433
616	696	432
617	697	430
618	697	429
619	700	429
620	703	429
621	704	428
622	705	426
623	706	425
624	707	424
625	709	423
626	710	422
627	711	421
628	711	419
629	712	418
630	713	417
631	715	416
632	717	415
633	718	414
634	719	413
635	719	412
636	720	410
637	721	409
638	723	408
639	724	407
640	725	406
641	726	405
642	727	403
643	728	402
644	730	401
645	732	401
646	733	400
647	734	399
648	735	397
649	736	396
650	737	395
651	740	395
652	742	394
653	746	394
654	747	393
655	748	392
656	749	391
657	750	390
658	751	388
659	752	387
660	753	386
661	754	385
662	755	383
663	756	382
664	756	381
665	757	379
666	759	379
667	761	378
668	762	377
669	763	375
670	764	374
671	764	373
672	765	372
673	766	370
674	767	369
675	768	368
676	768	366
677	769	365
678	770	364
679	771	362
680	772	361
681	772	360
682	775	359
683	776	358
684	776	357
685	777	355
686	778	354
687	779	353
688	780	352
689	781	351
690	782	349
691	783	348
692	784	347
693	785	346
694	786	345
695	787	343
696	788	342
697	790	342
698	792	341
699	793	340
700	795	339
701	796	337
702	797	336
703	798	335
704	799	334
705	800	333
706	801	332
707	802	331
708	805	330
709	807	329
710	808	328
711	810	327
712	811	326
713	812	325
714	813	324
715	814	323
716	815	322
717	816	320
718	817	319
719	821	319
720	822	318
721	823	317
722	824	315
723	825	314
724	827	313
725	829	312
726	830	311
727	830	310
728	831	309
729	834	308
730	837	308
731	839	307
732	840	306
733	841	304
734	842	303
735	843	302
736	845	301
737	846	300
738	848	299
739	850	298
740	851	297
741	853	296
742	854	295
743	855	294
744	856	293
745	857	292
746	859	291
747	860	289
748	861	288
749	865	288
750	867	287
751	868	286
752	869	285
753	870	284
754	871	282
755	873	281
756	874	280
757	875	279
758	876	278
759	878	277
760	880	276
761	881	275
762	882	274
763	883	272
764	884	271
765	885	270
766	886	269
767	887	268
768	888	266
769	889	265
770	890	264
771	890	263
772	891	261
773	893	260
774	895	260
775	897	258
776	897	257
777	898	256
778	899	255
779	900	254
780	901	252
781	902	251
782	903	250
783	904	249
784	904	247
785	905	246
786	906	245
787	908	244
788	910	243
789	911	242
790	912	241
791	913	239
792	914	238
793	915	237
794	916	236
795	917	235
796	918	233
797	919	232
798	920	231
799	920	230
800	921	228
801	923	228
802	924	226
803	925	225
804	926	224
805	927	223
806	927	221
807	928	220
808	929	219
809	930	218
810	931	216
811	931	215
812	932	214
813	933	213
814	934	212
815	934	210
816	935	209
817	937	208
818	938	207
819	939	206
820	940	205
821	941	203
822	942	202
823	943	201
824	944	200
825	945	199
826	946	197
827	947	196
828	947	195
829	948	194
830	949	193
831	950	191
832	950	190
833	952	189
834	953	188
835	954	187
836	955	186
837	956	184
838	956	183
839	957	182
840	958	181
841	959	180
842	960	178
843	960	177
844	961	176
845	962	175
846	963	173
847	963	172
848	964	171
849	965	170
850	966	169
851	968	168
852	969	167
853	969	165
854	970	164
855	971	163
856	972	162
857	972	161
858	973	159
859	974	158
860	975	157
861	976	156
862	976	155
863	977	153
864	978	152
865	979	151
866	980	150
867	980	149
868	982	148
869	983	146
870	984	145
871	985	144
872	986	143
873	986	142
874	987	141
875	988	139
876	989	138
877	989	137
878	990	136
879	991	135
880	992	134
881	992	132
882	993	131
883	994	130
884	995	129
885	995	128
886	997	127
887	998	125
888	999	124
889	999	123
890	1000	122
891	1001	121
892	1002	120
893	1002	118
894	1003	117
895	1004	116
896	1005	115
897	1006	114
898	1006	113
899	1007	111
900	1008	110
901	1009	109
902	1009	108
903	1010	107
904	1011	106
905	1013	105
906	1014	103
907	1015	102
908	1015	101
909	1016	100
910	1017	99
911	1018	98
912	1018	97
913	1019	95
914	1020	94
915	1021	93
916	1021	92
917	1022	91
918	1023	90
919	1024	89
920	1024	87
921	1025	86
922	1027	85
923	1028	84
924	1029	83
925	1030	82
926	1031	81
927	1032	80
928	1033	78
929	1034	77
930	1035	76
931	1035	75
932	1036	74
933	1037	73
934	1038	72
935	1038	71
936	1039	69
937	1040	68
938	1042	67
939	1043	66
940	1044	65
941	1045	64
942	1045	63
943	1046	62
944	1047	60
945	1048	59
946	1049	58
947	1049	57
948	1050	56
949	1051	55
950	1052	54
951	1053	53
952	1053	51
953	1054	50
954	1055	49
955	1056	48
956	1057	47
957	1058	46
958	1059	45
959	1060	44
960	1061	43
961	1062	41
962	1062	40
963	1063	39
964	1064	38
965	1065	37
966	1066	36
967	1066	35
968	1067	34
969	1068	33
970	1069	31
971	1070	30
972	1071	29
973	1072	28
974	1073	27
975	1074	26
976	1074	25
977	1075	24
978	1076	23
979	1077	21
980	1078	20
981	1078	19
982	1079	18
983	1080	17
984	1081	16
985	1081	15
986	1082	14
987	1083	13
988	1084	12
989	1084	10
990	1085	9
991	1087	8
992	1089	7
993	1091	6
994	1092	5
995	1093	4
996	1094	3
997	1095	2
998	1096	1
999	1096	0
