iter	RMSE
263	3.631269105
264	3.617928644
265	3.614607232
266	3.611373963
267	3.599874758
268	3.590616233
269	3.584811169
270	3.581219978
271	3.577301852
272	3.575030675
273	3.569807675
274	3.567854517
275	3.56567286
276	3.563413431
277	3.55746955
278	3.542460869
279	3.538004242
280	3.525645296
281	3.52156315
282	3.511272129
283	3.502293116
284	3.499240273
285	3.494216955
286	3.492474672
287	3.485073534
288	3.482538043
289	3.479097921
290	3.471983207
291	3.467763201
292	3.460261914
293	3.449206099
294	3.447189005
295	3.443802043
296	3.441495069
297	3.436063102
298	3.427708392
299	3.418270832
300	3.409563676
301	3.406360399
302	3.403312779
303	3.402086222
304	3.400596903
305	3.396289747
306	3.385470233
307	3.372468283
308	3.369704037
309	3.36659127
310	3.363475259
311	3.361383039
312	3.354375789
313	3.351480969
314	3.343820747
315	3.340019686
316	3.337548354
317	3.335132904
318	3.332559327
319	3.329512986
320	3.323335331
321	3.322593853
322	3.320727601
323	3.318200767
324	3.309212713
325	3.302055331
326	3.293634658
327	3.29129786
328	3.289063357
329	3.287379503
330	3.282763018
331	3.274025219
332	3.273394023
333	3.272645145
334	3.268699566
335	3.266278545
336	3.265420779
337	3.26075328
338	3.25847541
339	3.257809571
340	3.256006212
341	3.253997453
342	3.251674771
343	3.250901818
344	3.249587893
345	3.24899871
346	3.238617779
347	3.232233058
348	3.230422732
349	3.228240213
350	3.217668794
351	3.209358965
352	3.200758573
353	3.196994066
354	3.189741195
355	3.179228662
356	3.169004062
357	3.162156976
358	3.159234371
359	3.155716235
360	3.152748116
361	3.146121414
362	3.144063828
363	3.136314377
364	3.13342298
365	3.124621016
366	3.121295387
367	3.117417389
368	3.110605378
369	3.109870066
370	3.108186014
371	3.102153703
372	3.092359348
373	3.088249249
374	3.077735763
375	3.07603293
376	3.068665424
377	3.066059888
378	3.062405898
379	3.059687011
380	3.053637742
381	3.051966641
382	3.043749366
383	3.035906326
384	3.026472673
385	3.01745644
386	3.014666643
387	3.007954767
388	3.006270856
389	3.002758547
390	3.001184176
391	2.993635883
392	2.985907197
393	2.979637937
394	2.977282222
395	2.968174246
396	2.966615293
397	2.959422394
398	2.948949781
399	2.940019449
400	2.938524014
401	2.934825731
402	2.928260274
403	2.921836177
404	2.916055953
405	2.91124435
406	2.899621319
407	2.892231303
408	2.886422524
409	2.878049363
410	2.876349843
411	2.874991336
412	2.870948534
413	2.866329504
414	2.864884697
415	2.862845447
416	2.86159954
417	2.8592489
418	2.856824372
419	2.849605316
420	2.841454926
421	2.839017219
422	2.835185018
423	2.830051979
424	2.824846798
425	2.823990215
426	2.822264763
427	2.819238768
428	2.811419139
429	2.81073535
430	2.808639843
431	2.805118897
432	2.801395174
433	2.795637193
434	2.788631686
435	2.777386839
436	2.773052406
437	2.765619947
438	2.759089409
439	2.756976829
440	2.750540794
441	2.748464924
442	2.745219397
443	2.736472591
444	2.730688938
445	2.72739455
446	2.725059134
447	2.718728751
448	2.717984479
449	2.712126442
450	2.705484453
451	2.703458176
452	2.7025578
453	2.696671599
454	2.68990956
455	2.684943746
456	2.676151678
457	2.671831481
458	2.669886936
459	2.664327063
460	2.658716694
461	2.65193389
462	2.645987445
463	2.643518166
464	2.637610046
465	2.63371393
466	2.631971527
467	2.630390693
468	2.623689607
469	2.619137869
470	2.611553005
471	2.610234002
472	2.609196935
473	2.607204056
474	2.601530834
475	2.598530697
476	2.59762258
477	2.593113521
478	2.588670334
479	2.58336555
480	2.582324854
481	2.578302422
482	2.577067377
483	2.574526935
484	2.572376086
485	2.570014313
486	2.568305593
487	2.564873669
488	2.563851989
489	2.563050068
490	2.559861261
491	2.554021095
492	2.551953708
493	2.545870386
494	2.53711082
495	2.534309781
496	2.526039331
497	2.524879911
498	2.523555916
499	2.522043692
500	2.518576754
501	2.513713133
502	2.512076059
503	2.509607141
504	2.507863857
505	2.504676121
506	2.499621921
507	2.494042637
508	2.489231236
509	2.487541961
510	2.483027411
511	2.478505421
512	2.474819257
513	2.467425088
514	2.465724441
515	2.460644551
516	2.455863226
517	2.454694135
518	2.452032873
519	2.44676372
520	2.439599951
521	2.435173902
522	2.433287882
523	2.431038871
524	2.426064509
525	2.41703301
526	2.410877377
527	2.40936672
528	2.407751951
529	2.404799789
530	2.403291816
531	2.401147127
532	2.399349015
533	2.397052393
534	2.394831469
535	2.388708328
536	2.38809472
537	2.382231064
538	2.379469972
539	2.375771296
540	2.369685219
541	2.369405308
542	2.366650994
543	2.364250135
544	2.358767869
545	2.352204486
546	2.346494829
547	2.342082145
548	2.333032393
549	2.332112363
550	2.327283629
551	2.327015817
552	2.319209542
553	2.314387554
554	2.312657817
555	2.30891959
556	2.307765632
557	2.306275669
558	2.304612433
559	2.302686225
560	2.297702665
561	2.297135986
562	2.288905357
563	2.28341444
564	2.278061956
565	2.277299145
566	2.273290073
567	2.272688483
568	2.265838468
569	2.261310233
570	2.260164113
571	2.257003572
572	2.256453912
573	2.255137937
574	2.250743376
575	2.246406442
576	2.241646886
577	2.236359241
578	2.234043954
579	2.227470004
580	2.223747377
581	2.219533803
582	2.21698626
583	2.20991708
584	2.205948675
585	2.203906947
586	2.199460743
587	2.194843216
588	2.193289431
589	2.186775259
590	2.181465288
591	2.181233802
592	2.176831731
593	2.176017455
594	2.16987959
595	2.165816522
596	2.160626912
597	2.154760081
598	2.152521964
599	2.151380906
600	2.146781624
601	2.146169636
602	2.143161745
603	2.141358502
604	2.139851467
605	2.13476169
606	2.134248383
607	2.133428663
608	2.128993206
609	2.12718582
610	2.126703281
611	2.125403005
612	2.120823593
613	2.120108457
614	2.119744265
615	2.114854781
616	2.113418454
617	2.111933131
618	2.110260956
619	2.106057284
620	2.104686452
621	2.103285797
622	2.098571065
623	2.09343175
624	2.090694345
625	2.086047065
626	2.079032747
627	2.077949428
628	2.072358404
629	2.071709134
630	2.070942733
631	2.070259574
632	2.068307654
633	2.067050752
634	2.063046624
635	2.059716924
636	2.059391052
637	2.054427323
638	2.053999668
639	2.053082678
640	2.050330268
641	2.048427843
642	2.047097972
643	2.04230581
644	2.041435706
645	2.038624033
646	2.038049908
647	2.033970983
648	2.033508771
649	2.032190087
650	2.031900682
651	2.028919927
652	2.024599111
653	2.02017255
654	2.018183432
655	2.014415649
656	2.011626165
657	2.01056935
658	2.006310349
659	2.00526224
660	2.000680382
661	1.994205291
662	1.98976325
663	1.987237098
664	1.986812305
665	1.984871127
666	1.983199017
667	1.978521449
668	1.976689179
669	1.973985795
670	1.96826268
671	1.965880511
672	1.961324637
673	1.959633227
674	1.955772127
675	1.951724626
676	1.95026082
677	1.948752121
678	1.946673821
679	1.946041152
680	1.944620722
681	1.943735483
682	1.94318678
683	1.937745159
684	1.934602622
685	1.932680938
686	1.931503091
687	1.929578143
688	1.924783308
689	1.923346161
690	1.919239861
691	1.918291712
692	1.914676917
693	1.913440827
694	1.911842881
695	1.906756908
696	1.905851876
697	1.903492593
698	1.903126875
699	1.900416459
700	1.895889606
701	1.892394316
702	1.887116673
703	1.886853658
704	1.882757083
705	1.875711261
706	1.874543758
707	1.873150621
708	1.871853051
709	1.867025898
710	1.866656736
711	1.863790673
712	1.862830962
713	1.859310449
714	1.854474589
715	1.850202802
716	1.846317883
717	1.842831318
718	1.84089986
719	1.839914077
720	1.837732818
721	1.833652796
722	1.831961047
723	1.829622046
724	1.828287956
725	1.825338992
726	1.825071506
727	1.822833562
728	1.819067657
729	1.815716223
730	1.81146767
731	1.808680927
732	1.805160087
733	1.802072019
734	1.801817448
735	1.797597686
736	1.796480192
737	1.790972688
738	1.790744927
739	1.787880531
740	1.78442702
741	1.783229236
742	1.782212819
743	1.781162744
744	1.778134766
745	1.774589522
746	1.774235649
747	1.774011893
748	1.772269955
749	1.768086463
750	1.767103794
751	1.764116817
752	1.763200302
753	1.758975071
754	1.756966263
755	1.754508511
756	1.7539398
757	1.750545446
758	1.749102024
759	1.745625074
760	1.742254073
761	1.739314466
762	1.738352708
763	1.736169354
764	1.732649979
765	1.730840615
766	1.726706752
767	1.72601944
768	1.722883675
769	1.722672224
770	1.719454343
771	1.716874976
772	1.716384822
773	1.716123476
774	1.714789165
775	1.71051767
776	1.708603587
777	1.705716782
778	1.701934499
779	1.700816664
780	1.699940111
781	1.697068794
782	1.695133148
783	1.690801621
784	1.688316788
785	1.684324239
786	1.683652815
787	1.682615233
788	1.681673877
789	1.676235012
790	1.672886242
791	1.667298628
792	1.664815992
793	1.661026776
794	1.660859642
795	1.659223627
796	1.656061001
797	1.653381287
798	1.651326029
799	1.647111733
800	1.646732517
801	1.643188117
802	1.642910415
803	1.642191404
804	1.641928171
805	1.640951549
806	1.639892517
807	1.639130969
808	1.638837411
809	1.637649328
810	1.634651616
811	1.634512605
812	1.632089225
813	1.630085429
814	1.62914775
815	1.627495095
816	1.625997085
817	1.624698454
818	1.621757909
819	1.618644687
820	1.615448632
821	1.613008903
822	1.612023176
823	1.60815384
824	1.607911115
825	1.605059524
826	1.601601156
827	1.600628194
828	1.599118054
829	1.598520547
830	1.596961196
831	1.592980767
832	1.590061316
833	1.589136466
834	1.586469902
835	1.582800565
836	1.581690148
837	1.576098852
838	1.572016106
839	1.566334353
840	1.565987025
841	1.562816516
842	1.560173469
843	1.55966828
844	1.557100864
845	1.554177987
846	1.550545512
847	1.546890888
848	1.544493761
849	1.541654578
850	1.539323611
851	1.534743924
852	1.533027491
853	1.530161618
854	1.526754196
855	1.524216505
856	1.522634582
857	1.519524113
858	1.518022531
859	1.517207714
860	1.514715749
861	1.510736231
862	1.507781054
863	1.506283897
864	1.505429525
865	1.50222516
866	1.5015411
867	1.500239025
868	1.49808892
869	1.497016532
870	1.496501239
871	1.493738591
872	1.492083163
873	1.490713143
874	1.485632489
875	1.485055366
876	1.482544686
877	1.479642774
878	1.478639129
879	1.475467407
880	1.47526121
881	1.472028435
882	1.469178989
883	1.464924547
884	1.461043844
885	1.459379448
886	1.456711105
887	1.454478523
888	1.453925276
889	1.452800169
890	1.449167163
891	1.448278774
892	1.445930593
893	1.443331633
894	1.441548114
895	1.440492577
896	1.436476292
897	1.434639171
898	1.432397043
899	1.430624396
900	1.428043572
901	1.426541209
902	1.42559493
903	1.423081221
904	1.421560788
905	1.421079494
906	1.420500555
907	1.420357693
908	1.419487763
909	1.416501907
910	1.413101758
911	1.411693205
912	1.410688856
913	1.410201265
914	1.406008635
915	1.405238464
916	1.403262986
917	1.400294377
918	1.395812231
919	1.390945512
920	1.388817883
921	1.386825826
922	1.384277821
923	1.383040225
924	1.382320925
925	1.380697403
926	1.377956697
927	1.376173536
928	1.371642596
929	1.370946917
930	1.36776215
931	1.36577055
932	1.361566379
933	1.358552782
934	1.355658139
935	1.353023239
936	1.350304806
937	1.348408773
938	1.345681073
939	1.345503524
940	1.342798132
941	1.341254389
942	1.339099791
943	1.335500263
944	1.334157932
945	1.332237162
946	1.330822905
947	1.328734646
948	1.328151009
949	1.327857128
950	1.324757197
951	1.321287731
952	1.317882122
953	1.316904585
954	1.315460201
955	1.315320329
956	1.312520528
957	1.311811522
958	1.311576071
959	1.310722117
960	1.310161364
961	1.309489023
962	1.309269394
963	1.309123094
964	1.306016435
965	1.305583818
966	1.303605805
967	1.301300412
968	1.300468752
969	1.297768609
970	1.296839957
971	1.293615504
972	1.292323245
973	1.291646155
974	1.289966647
975	1.289174486
976	1.287136984
977	1.286542376
978	1.28541953
979	1.282128707
980	1.280849252
981	1.279701721
982	1.276583537
983	1.275048817
984	1.274888515
985	1.274596795
986	1.274347398
987	1.271320296
988	1.270649935
989	1.27046706
990	1.270311968
991	1.269034105
992	1.267623679
993	1.2674515
994	1.265661089
995	1.264012422
996	1.262601907
997	1.259374058
998	1.256148654
999	1.255520822
